name;origin;destination;length;oneway;harassmentRisk;geometry
Calle 10A;(-75.569105, 6.2109221);(-75.5709247, 6.2118269);231.981;True;0.4143561833185974;LINESTRING (-75.56910499999999 6.2109221, -75.5694556 6.2110554, -75.5696074 6.2111042, -75.5697777 6.2111445, -75.5701255 6.2111932, -75.5701959 6.2112227, -75.57038369999999 6.2113113, -75.5704528 6.211365, -75.5705638 6.2114767, -75.5706764 6.2116237, -75.57092470000001 6.2118269)
Carrera 56B;(-75.5737708, 6.2524667);(-75.5739285, 6.2521392);40.373;True;0.8623239164860061;LINESTRING (-75.57377080000001 6.2524667, -75.57392849999999 6.2521392)
Calle 50;(-75.5737708, 6.2524667);(-75.5756644, 6.2534538);236.593;True;0.8623239164860061;LINESTRING (-75.57377080000001 6.2524667, -75.57406539999999 6.252582, -75.5752201 6.2532001, -75.57558520000001 6.2534086, -75.57566439999999 6.2534538)
;(-75.5737708, 6.2524667);(-75.5745939, 6.2529689);106.931;True;0.8623239164860061;LINESTRING (-75.57377080000001 6.2524667, -75.5740309 6.2526563, -75.5745939 6.2529689)
Calle 50;(-75.5719959, 6.2515189);(-75.5725557, 6.2518179);70.243;True;0.8623239164860061;LINESTRING (-75.5719959 6.2515189, -75.5725557 6.2518179)
Carrera 55;(-75.5719959, 6.2515189);(-75.5726415, 6.2503878);144.607;True;0.8623239164860061;LINESTRING (-75.5719959 6.2515189, -75.5726415 6.2503878)
Carrera 52;(-75.5695566, 6.2502512);(-75.569255, 6.2509466);84.205;False;0.9017777359596726;LINESTRING (-75.5695566 6.2502512, -75.569255 6.2509466)
Carrera 52;(-75.5695566, 6.2502512);(-75.5699558, 6.2493424);110.268;False;0.9017777359596726;LINESTRING (-75.5695566 6.2502512, -75.5699558 6.2493424)
Calle 50;(-75.5695566, 6.2502512);(-75.5703802, 6.2506254);100.102;True;0.9017777359596726;LINESTRING (-75.5695566 6.2502512, -75.56971559999999 6.2503203, -75.5701717 6.2505256, -75.5703802 6.2506254)
Diagonal 50;(-75.5675498, 6.2485717);(-75.5679694, 6.2494614);110.03399999999998;True;0.9017777359596726;LINESTRING (-75.56754979999999 6.2485717, -75.5676038 6.248685, -75.5676435 6.2487877, -75.5677444 6.2490858, -75.5677779 6.2491631, -75.5678236 6.2492528, -75.5678602 6.2493212, -75.56791029999999 6.2493913, -75.5679694 6.2494614)
Calle 49F;(-75.5969145, 6.2626836);(-75.5976943, 6.2628554);88.284;False;0.8523359794968276;LINESTRING (-75.5969145 6.2626836, -75.5976943 6.2628554)
Carrera 80;(-75.5969145, 6.2626836);(-75.5971152, 6.2617923);101.561;True;0.8523359794968276;LINESTRING (-75.5969145 6.2626836, -75.5971152 6.2617923)
Calle 49;(-75.5973084, 6.2609247);(-75.5980752, 6.2610824);86.551;False;0.8523359794968276;LINESTRING (-75.5973084 6.2609247, -75.5980752 6.2610824)
Carrera 80;(-75.5973084, 6.2609247);(-75.5975054, 6.2600401);100.745;True;0.8523359794968276;LINESTRING (-75.5973084 6.2609247, -75.5975054 6.2600401)
;(-75.6015354, 6.2524182);(-75.6028966, 6.2507077);252.938;True;0.9275086492430402;LINESTRING (-75.6015354 6.2524182, -75.60178139999999 6.2521824, -75.60183720000001 6.2521171, -75.6019077 6.2520239, -75.6019798 6.2518979, -75.60207130000001 6.2517249, -75.6021636 6.2515271, -75.60220529999999 6.2514269, -75.6022545 6.2512942, -75.6023088 6.2511304, -75.6023326 6.2510796, -75.6023684 6.2510228, -75.6024343 6.2509428, -75.6024944 6.2508845, -75.60256699999999 6.25083, -75.6026219 6.2507963, -75.6026797 6.2507714, -75.60289659999999 6.2507077)
Avenida 80;(-75.6015354, 6.2524182);(-75.6024257, 6.2493143);367.247;True;0.9275086492430402;LINESTRING (-75.6015354 6.2524182, -75.6016997 6.2522102, -75.6017844 6.2520867, -75.6018747 6.2519358, -75.6019579 6.2517885, -75.60207149999999 6.251584, -75.6021111 6.251498, -75.6021507 6.2513997, -75.6021906 6.2512771, -75.6022304 6.2511334, -75.6022688 6.250966, -75.6023004 6.2508054, -75.6023249 6.2506624, -75.6023357 6.2505658, -75.60235 6.2503882, -75.6023783 6.2499396, -75.602423 6.2493499, -75.6024257 6.2493143)
Avenida 80;(-75.6024442, 6.2490699);(-75.6025386, 6.2476678);156.255;True;0.6461288819387261;LINESTRING (-75.60244419999999 6.2490699, -75.6025386 6.2476678)
Calle 37A;(-75.6027753, 6.2441506);(-75.6033143, 6.244273);61.113;False;0.6461288819387261;LINESTRING (-75.6027753 6.2441506, -75.60331429999999 6.244273)
Avenida 80;(-75.6027753, 6.2441506);(-75.6028454, 6.2434575);77.66300000000001;True;0.6461288819387261;LINESTRING (-75.6027753 6.2441506, -75.6028115 6.2436171, -75.6028206 6.2435437, -75.60283219999999 6.243495, -75.60284540000001 6.2434575)
Calle 33AA;(-75.602977, 6.2398991);(-75.6040251, 6.239978);116.185;False;0.7385414863895424;LINESTRING (-75.602977 6.2398991, -75.6040251 6.239978)
Carrera 81;(-75.602977, 6.2398991);(-75.6030089, 6.2393871);57.041;True;0.7385414863895424;LINESTRING (-75.602977 6.2398991, -75.6029827 6.2398073, -75.60300890000001 6.2393871)
;(-75.6030814, 6.2390052);(-75.6031563, 6.2389726);9.038;True;0.7385414863895424;LINESTRING (-75.60308139999999 6.2390052, -75.60315629999999 6.2389726)
;(-75.6030814, 6.2390052);(-75.6030009, 6.2384116);90.834;False;0.6923351841641343;LINESTRING (-75.60308139999999 6.2390052, -75.60312450000001 6.2388899, -75.6032055 6.2386125, -75.6029468 6.2385378, -75.60297389999999 6.2384797, -75.6030009 6.2384116)
Carrera 80;(-75.6031439, 6.2384487);(-75.6030944, 6.2381489);34.082;True;0.7385414863895424;LINESTRING (-75.60314390000001 6.2384487, -75.60312260000001 6.2383886, -75.60310680000001 6.2383393, -75.6030985 6.238279, -75.60309479999999 6.2382014, -75.6030944 6.2381489)
;(-75.6031439, 6.2384487);(-75.6030009, 6.2384116);16.459;True;0.6923351841641343;LINESTRING (-75.60314390000001 6.2384487, -75.60307469999999 6.2384214, -75.6030009 6.2384116)
Calle 30A;(-75.6023498, 6.231968);(-75.6034497, 6.2319351);121.636;True;0.8999029596469926;LINESTRING (-75.6023498 6.231968, -75.6034497 6.2319351)
Carrera 84;(-75.6075455, 6.2317845);(-75.6076111, 6.2325058);80.532;False;0.8310521911719851;LINESTRING (-75.6075455 6.2317845, -75.6076111 6.2325058)
Carrera 84;(-75.6075455, 6.2317845);(-75.6075114, 6.2312563);58.854;False;0.8310521911719851;LINESTRING (-75.6075455 6.2317845, -75.60751140000001 6.2312563)
